FacilityID,FacilityName,VOCs,TSP,SOx,NOx,Total,Total(不含VOCs)
H4400908,國信窯業股份有限公司,0.257,3.818,1.073,2.338,7.486,7.229
R90A0401,奇美材料科技股份有限公司,2.033,0.38,2.574,4.27,9.257,7.224
L9700143,信昌砂石行,0,7.223,0,0,7.223,7.223
H5389800,繼德印染科技股份有限公司,0.281,0.601,3.595,3.024,7.501,7.22
L8801187,新能化工股份有限公司,0,0.289,3.766,3.134,7.189,7.189
F11A1067,金和泰實業有限公司汐止廠,0.347,4.491,0.953,1.74,7.531,7.184
F0800415,元記實業股份有限公司,0.52,5.821,0.85,0.503,7.694,7.174
S2200102,三和耐火工業股份有限公司,0.085,5.946,0.548,0.674,7.253,7.168
D3208686,達邦蛋白股份有限公司科工廠,0,1.957,2.985,2.226,7.168,7.168
K77A0481,達邁科技股份有限公司銅鑼分公司,0.712,0.309,3.802,3.055,7.878,7.166
R9000563,三億麥芽實業有限公司　　,0,4.936,1.161,1.066,7.163,7.163
H4606848,台耀化學股份有限公司蘆竹廠,4.358,0.261,3.597,3.286,11.502,7.144
L8900809,信富紡織科技股份有限公司,0.328,0.098,4.359,2.658,7.443,7.115
D3209692,臺南市政府工務局安南瀝青拌合工廠,0.307,5.739,0.61,0.676,7.332,7.025
F0800988,潮輝陶磁股份有限公司,0,4.711,0.634,1.678,7.023,7.023
U9106416,光華礦務股份有限公司（花蓮港控管裝卸中心）,0,6.98,0,0,6.98,6.98
G3900326,耕盈行,0,6.965,0,0,6.965,6.965
H4503520,明紡股份有限公司,0.914,0.881,2.904,3.175,7.874,6.96
H4500636,美亞鋼管廠股份有限公司,6.747,6.079,0,0.865,13.691,6.944
H5201365,巨讚實業有限公司,0,6.934,0,0,6.934,6.934
K7101579,台元紡織股份有限公司竹南染整廠,0.17,0.122,2.334,4.478,7.104,6.934
L91A2853,貝民股份有限公司台中港廠,0,0.027,5.539,1.366,6.932,6.932
H5301440,昇元窯業股份有限公司,0.43,5.313,0,1.616,7.359,6.929
F1312281,立可白實業有限公司,0.18,0.457,2.917,3.498,7.052,6.872
S1900630,台達化學工業股份有限公司林園廠,4.18,1.216,2.371,3.262,11.029,6.849
S2000835,泰銘實業股份有限公司,8.235,0.839,3.858,2.142,15.074,6.839
F0701319,錦紅實業股份有限公司,0.956,1.09,1.866,3.854,7.766,6.81
S2602473,裕鐵企業股份有限公司,11.022,0.529,0.023,6.218,17.792,6.77
Q6900858,愛之味股份有限公司嘉義食品廠,0,0.564,3.709,2.489,6.762,6.762
F0802553,全泰耐火陶瓷工業股份有限公司,0,2.561,1.344,2.842,6.747,6.747
H46A9391,台光染整股份有限公司海湖二廠,0,0.404,2.658,3.685,6.747,6.747
N1601121,大成長城企業股份有限公司彰化總廠,0,6.309,0,0.425,6.734,6.734
X0401586,台灣電力股份有限公司澎湖區營業處虎井發電廠,0.006,0,0.002,6.729,6.737,6.731
M3395016,環偉實業股份有限公司,1.618,0.135,1.095,5.495,8.343,6.725
Q7604542,穎杰鑄造工業股份有限公司二廠,0.986,5.564,0.289,0.869,7.708,6.722
G37A1652,宜興預拌混凝土股份有限公司二廠,0.002,6.698,0,0,6.7,6.698
N2907908,雅昌實業股份有限公司二廠,0,0.565,1.681,4.438,6.684,6.684
N2805892,味丹生物科技股份有限公司埤頭工廠,0,0.107,3.815,2.742,6.664,6.664
L9505595,廣獲企業有限公司,0,6.604,0,0,6.604,6.604
P5802001,台灣塑膠工業股份有限公司麥寮碳纖廠,2.87,2.355,1.171,3.077,9.473,6.603
V75A4888,瑞晟砂石有限公司,0,6.599,0,0,6.599,6.599
F0802053,晉大陶瓷股份有限公司,0.218,3.885,0.773,1.917,6.793,6.575
P4601233,味全食品工業股份有限公司(斗六總廠),0,0.406,3.739,2.427,6.572,6.572
K7101248,廣源造紙股份有限公司,0,0.733,1.211,4.627,6.571,6.571
H46A3888,智晟實業股份有限公司二廠,0,0.739,0.922,4.898,6.559,6.559
